SR Number,Disease Name,Disease Info,Disease Cure
26,[SQUASH] - Powdery mildew,"Powdery mildew is a fungal disease that affects squash and other cucurbit plants. It causes a white, powdery growth on the leaves and stems, leading to reduced plant vigor and yield.","Applying fungicides at the right times, selecting resistant squash cultivars, and maintaining good air circulation in the growing area can help control powdery mildew. Removing and destroying affected plant parts can also help prevent the spread of the disease."
27,[STRAWBERRY] - Healthy,-,-
28,[STRAWBERRY] - Leaf scorch,"Leaf scorch is a fungal disease that affects strawberry plants. It causes reddish-brown lesions on the leaves, leading to reduced photosynthesis and plant vigor.","Applying fungicides at the right times, removing and destroying affected plant parts, and maintaining good field sanitation can help control leaf scorch in strawberries. Using resistant cultivars can also help prevent the disease."
29,[TOMATO] - Bacterial spot,"Bacterial spot is a bacterial disease that affects tomato plants. It causes small, water-soaked lesions on the leaves, stems, and fruit, leading to reduced plant vigor and yield.","Applying copper-based bactericides, practicing crop rotation, and maintaining good field sanitation can help manage bacterial spot in tomatoes. Using resistant cultivars and providing proper plant spacing and irrigation can also help prevent the disease."
30,[TOMATO] - Early blight,"Early blight is a fungal disease that affects tomato plants. It causes circular, brown lesions with concentric rings on the leaves, leading to reduced plant vigor and fruit quality.","Applying fungicides at the right times, practicing good crop rotation, and maintaining proper soil moisture and drainage can help manage early blight in tomatoes. Using resistant cultivars and removing and destroying affected plant parts can also help prevent the disease."
31,[TOMATO] - Healthy,-,-
32,[TOMATO] - Late blight,"Late blight is a devastating fungal disease that affects tomato and potato plants. It causes rapidly expanding, water-soaked lesions on the leaves and stems, leading to complete plant death and significant crop losses.","Applying fungicides at the right times, using resistant tomato cultivars, and practicing good crop rotation and field sanitation are crucial for managing late blight. Proper irrigation management and avoiding planting in cool, wet conditions can also help prevent the disease."
33,[TOMATO] - Leaf Mold,"Leaf mold is a fungal disease that affects tomato plants. It causes yellow or green lesions with fuzzy, gray or purple fungal growth on the upper leaf surface, leading to reduced plant vigor and yield.","Applying fungicides at the right times, maintaining good air circulation in the growing area, and using resistant tomato cultivars can help control leaf mold. Removing and destroying affected plant parts can also help prevent the spread of the disease."
34,[TOMATO] - Septoria leaf spot,"Septoria leaf spot is a fungal disease that affects tomato plants. It causes small, circular, brown lesions with dark borders on the leaves, leading to premature leaf drop and reduced plant health.","Applying fungicides at the right times, practicing good crop rotation, and maintaining proper soil moisture and drainage can help manage Septoria leaf spot in tomatoes. Using resistant cultivars and removing and destroying affected plant parts can also help prevent the disease."
35,[TOMATO] - Spider mites,"Two-spotted spider mites are tiny arachnids that feed on the leaves of tomato plants, causing stippling, yellowing, and eventual desiccation of the foliage, leading to reduced plant vigor and yield.","Applying miticides or insecticidal soaps, maintaining good field sanitation, and encouraging natural predators can help control two-spotted spider mites. Providing adequate irrigation and avoiding drought stress can also make tomato plants less susceptible to mite infestations."
36,[TOMATO] - Target Spot,"Target spot is a fungal disease that affects tomato plants. It causes circular, brown lesions with concentric rings on the leaves and fruit, leading to reduced plant health and marketable yield.","Applying fungicides at the right times, practicing good crop rotation, and maintaining proper field sanitation can help manage target spot in tomatoes. Using resistant cultivars and removing and destroying affected plant parts can also help prevent the disease."
37,[TOMATO] - Mosaic Virus,"Tomato mosaic virus is a viral disease that affects tomato plants. It causes mottled, distorted leaves and stunted plant growth, leading to reduced fruit production and quality.","There is no direct cure for tomato mosaic virus, but preventing the introduction of the virus through the use of certified, virus-free seed and transplants, and controlling the spread of the virus by removing and destroying affected plants, can help manage the disease."
38,[TOMATO] - Yellow Leaf Curl Virus,"Tomato yellow leaf curl virus is a viral disease transmitted by whiteflies that affects tomato plants. It causes severe leaf curling, stunting, and reduced fruit production, leading to significant crop losses.","There is no direct cure for tomato yellow leaf curl virus, but controlling the whitefly vector, using resistant tomato cultivars, and removing and destroying affected plants can help manage the disease. Maintaining good field sanitation and promoting natural whitefly predators are also important control measures."
